tenure,MonthlyCharges,TotalCharges,Contract,Churn
62,40.82,2530.84,Month-to-month,Yes
71,28.83,2046.93,One year,No
24,95.16,2283.84,One year,No
51,98.67,5032.17,Month-to-month,Yes
71,113.97,8091.87,One year,No
9,85.1,765.9,Month-to-month,No
11,106.22,1168.42,One year,No
46,41.73,1919.58,One year,No
59,111.57,6582.63,Month-to-month,Yes
59,21.53,1270.27,Two year,No
18,67.37,1212.66,Month-to-month,No
26,89.7,2332.2,One year,No
9,56.89,512.01,One year,No
20,44.83,896.6,One year,No
40,95.95,3838.0,Month-to-month,Yes
33,83.58,2758.14,One year,No
59,91.44,5394.96,Two year,No
1,25.14,25.14,Two year,Yes
42,88.92,3734.64,Two year,Yes
36,42.16,1517.76,One year,No
38,73.62,2797.56,Month-to-month,Yes
39,108.34,4225.26,One year,Yes
67,49.37,3307.79,One year,Yes
36,100.34,3612.24,Month-to-month,No
57,24.07,1371.99,Month-to-month,Yes
30,95.95,2878.5,Month-to-month,Yes
52,115.61,6011.72,Month-to-month,Yes
44,35.83,1576.52,Month-to-month,No
56,106.4,5958.4,One year,Yes
45,33.53,1508.85,Two year,Yes
7,95.7,669.9,Month-to-month,Yes
48,81.9,3931.2,Two year,No
70,37.75,2642.5,Two year,Yes
50,31.88,1594.0,One year,No
16,62.1,993.6,Month-to-month,No
7,89.18,624.26,One year,No
41,80.19,3287.79,Month-to-month,Yes
36,22.17,798.12,Two year,No
13,90.54,1177.02,One year,No
44,71.67,3153.48,Two year,Yes
68,117.1,7962.8,Month-to-month,No
13,52.55,683.15,Month-to-month,Yes
31,44.1,1367.1,Two year,Yes
36,34.12,1228.32,Two year,No
65,102.24,6645.6,Two year,Yes
56,50.38,2821.28,One year,No
72,101.82,7331.04,One year,Yes
37,41.16,1522.92,Month-to-month,Yes
59,41.86,2469.74,Two year,No
62,100.29,6217.98,Two year,Yes
15,21.01,315.15,One year,No
29,79.17,2295.93,Two year,No
26,61.45,1597.7,Two year,No
15,99.79,1496.85,Two year,Yes
17,51.5,875.5,Two year,No
23,104.73,2408.79,Two year,No
28,34.62,969.36,One year,No
15,90.62,1359.3,Month-to-month,No
36,45.77,1647.72,Two year,No
24,86.28,2070.72,Two year,No
28,68.46,1916.88,Month-to-month,Yes
64,99.56,6371.84,One year,Yes
10,31.02,310.2,Two year,No
23,105.97,2437.31,Month-to-month,No
30,41.39,1241.7,One year,Yes
36,42.71,1537.56,Two year,No
66,33.93,2239.38,Two year,No
66,38.9,2567.4,Month-to-month,Yes
5,39.0,195.0,Two year,No
67,96.53,6467.51,Two year,No
64,32.43,2075.52,One year,No
23,64.64,1486.72,Month-to-month,Yes
8,87.1,696.8,Month-to-month,No
30,40.28,1208.4,Two year,No
43,31.79,1366.97,Month-to-month,Yes
6,90.09,540.54,One year,No
72,52.0,3744.0,Month-to-month,Yes
72,78.87,5678.64,One year,No
67,102.27,6852.09,Two year,Yes
14,105.27,1473.78,Two year,Yes
1,69.23,69.23,Month-to-month,Yes
67,119.64,8015.88,Two year,No
26,56.84,1477.84,One year,No
40,56.12,2244.8,Month-to-month,Yes
47,78.28,3679.16,Month-to-month,Yes
38,39.02,1482.76,Month-to-month,Yes
7,91.34,639.38,Two year,Yes
70,31.02,2171.4,One year,No
15,40.02,600.3,Two year,No
39,102.14,3983.46,Two year,Yes
66,119.39,7879.74,Two year,Yes
71,119.45,8480.95,One year,No
47,57.03,2680.41,One year,No
16,118.65,1898.4,Month-to-month,Yes
44,84.81,3731.64,Month-to-month,No
50,90.29,4514.5,Two year,Yes
52,62.39,3244.28,Month-to-month,Yes
20,98.75,1975.0,Two year,No
5,36.16,180.8,One year,Yes
21,57.82,1214.22,One year,No
70,110.48,7733.6,One year,No
46,29.53,1358.38,Month-to-month,Yes
14,104.82,1467.48,One year,No
19,22.18,421.42,Month-to-month,Yes
48,87.21,4186.08,Month-to-month,No
72,66.29,4772.88,Month-to-month,No
22,113.36,2493.92,Month-to-month,Yes
51,49.29,2513.79,One year,No
5,81.43,407.15,Two year,Yes
29,112.23,3254.67,One year,No
68,40.09,2726.12,Two year,No
58,22.46,1302.68,Month-to-month,Yes
9,45.69,411.21,Month-to-month,Yes
17,90.31,1535.27,Two year,No
53,33.83,1792.99,One year,Yes
9,61.75,555.75,One year,No
41,53.37,2188.17,Month-to-month,Yes
64,63.96,4093.44,Two year,No
19,20.4,387.6,Month-to-month,Yes
29,119.48,3464.92,One year,No
20,111.12,2222.4,One year,No
57,28.61,1630.77,One year,No
2,48.05,96.1,Two year,No
48,118.12,5669.76,One year,Yes
1,66.23,66.23,Two year,No
11,39.35,432.85,Two year,Yes
40,119.18,4767.2,Two year,Yes
15,59.34,890.1,One year,No
60,115.69,6941.4,Month-to-month,No
34,111.82,3801.88,Two year,No
20,41.97,839.4,Month-to-month,Yes
33,60.61,2000.13,One year,No
23,84.02,1932.46,Month-to-month,Yes
39,33.24,1296.36,Month-to-month,Yes
70,77.1,5397.0,Two year,Yes
14,47.51,665.14,Two year,No
72,59.31,4270.32,Two year,No
30,62.88,1886.4,One year,No
72,29.48,2122.56,Two year,No
46,99.62,4582.52,Month-to-month,Yes
18,78.62,1415.16,Month-to-month,Yes
42,67.45,2832.9,Two year,Yes
63,82.07,5170.41,Month-to-month,No
51,68.82,3509.82,Two year,Yes
45,37.64,1693.8,One year,No
35,56.2,1967.0,Two year,Yes
55,32.44,1784.2,One year,No
3,91.25,273.75,One year,No
20,108.99,2179.8,Two year,No
51,104.9,5349.9,Two year,No
21,119.61,2511.81,Two year,No
68,89.73,6101.64,One year,No
23,87.25,2006.75,Two year,No
30,65.47,1964.1,Month-to-month,Yes
53,50.23,2662.19,Two year,No
7,51.95,363.65,Month-to-month,Yes
7,114.06,798.42,One year,No
27,66.38,1792.26,One year,Yes
45,98.47,4431.15,Two year,No
1,107.47,107.47,One year,No
49,111.36,5456.64,Month-to-month,No
8,88.37,706.96,Month-to-month,Yes
8,99.36,794.88,One year,Yes
72,37.32,2687.04,Two year,Yes
60,68.41,4104.6,Month-to-month,Yes
44,80.47,3540.68,One year,No
41,105.81,4338.21,One year,Yes
70,34.39,2407.3,Month-to-month,Yes
32,106.36,3403.52,Two year,No
11,27.88,306.68,One year,Yes
28,41.09,1150.52,Two year,No
52,94.81,4930.12,Month-to-month,Yes
67,103.72,6949.24,Month-to-month,No
27,100.24,2706.48,One year,No
3,51.97,155.91,Two year,Yes
37,71.87,2659.19,One year,No
39,43.24,1686.36,Month-to-month,Yes
2,109.39,218.78,Two year,Yes
4,97.59,390.36,Two year,No
3,27.57,82.71,One year,Yes
9,95.57,860.13,One year,Yes
5,94.44,472.2,One year,No
1,51.03,51.03,One year,No
55,28.55,1570.25,One year,Yes
3,62.23,186.69,Month-to-month,Yes
34,48.78,1658.52,One year,No
23,119.2,2741.6,Month-to-month,No
6,102.11,612.66,One year,No
58,85.61,4965.38,Two year,No
43,97.08,4174.44,Month-to-month,Yes
37,60.48,2237.76,One year,No
44,37.33,1642.52,Two year,Yes
57,63.27,3606.39,Two year,No
32,64.55,2065.6,Month-to-month,No
5,83.17,415.85,Month-to-month,Yes
68,23.61,1605.48,One year,No
19,100.01,1900.19,Two year,Yes
43,117.63,5058.09,One year,No
35,99.84,3494.4,Two year,No
3,49.6,148.8,Two year,Yes
2,39.56,79.12,One year,No
54,48.51,2619.54,Month-to-month,Yes
39,95.11,3709.29,Month-to-month,Yes
42,119.69,5026.98,Month-to-month,No
54,21.99,1187.46,Two year,No
27,55.47,1497.69,Month-to-month,Yes
62,57.97,3594.14,Two year,No
20,114.28,2285.6,One year,No
20,65.19,1303.8,Month-to-month,No
66,72.91,4812.06,Two year,No
40,52.84,2113.6,Month-to-month,Yes
65,112.22,7294.3,One year,No
13,33.29,432.77,One year,No
41,107.14,4392.74,One year,No
4,87.43,349.72,One year,No
27,42.04,1135.08,One year,Yes
42,102.04,4285.68,Two year,Yes
12,94.43,1133.16,One year,No
61,39.88,2432.68,Two year,Yes
43,30.1,1294.3,Two year,Yes
41,116.08,4759.28,Two year,No
6,62.42,374.52,Two year,No
47,36.1,1696.7,One year,No
45,98.56,4435.2,One year,No
64,66.97,4286.08,Two year,No
68,46.74,3178.32,One year,No
61,56.98,3475.78,One year,Yes
54,111.08,5998.32,Month-to-month,Yes
20,66.68,1333.6,One year,No
42,77.85,3269.7,Two year,No
13,69.53,903.89,Two year,No
62,99.12,6145.44,Two year,No
48,49.45,2373.6,Two year,Yes
52,33.41,1737.32,Two year,Yes
25,96.71,2417.75,Month-to-month,Yes
44,47.47,2088.68,One year,No
27,102.31,2762.37,One year,Yes
58,56.5,3277.0,One year,No
